Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject
PP700858,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-19,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-001033,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Island County",USA,WA,Homo sapiens,,2021-06-09,SAMN41018967,PRJNA749781
PP701000,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-19,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-001188,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29819,GenBank,complete,,,,"USA: Washington, King County",USA,WA,Homo sapiens,,2021-07-13,SAMN41018824,PRJNA749781
PP627662,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-001231,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29814,GenBank,complete,,,,"USA: Washington, Thurston County",USA,WA,Homo sapiens,,2021-07-20,,PRJNA749781
PP627721,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-001292,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Kitsap County",USA,WA,Homo sapiens,,2021-07-24,,PRJNA749781
PP628071,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-002274,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29772,GenBank,complete,,,,"USA: Washington, Jefferson County",USA,WA,Homo sapiens,,2021-08-12,,PRJNA749781
PP628504,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-003082,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Thurston County",USA,WA,Homo sapiens,,2021-09-15,,PRJNA749781
PP628814,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-003801,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29792,GenBank,complete,,,,"USA: Washington, Douglas County",USA,WA,Homo sapiens,,2021-09-01,,PRJNA749781
PP628827,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-003816,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29811,GenBank,complete,,,,"USA: Washington, Adams County",USA,WA,Homo sapiens,,2021-09-01,,PRJNA749781
PP629168,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004569,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Adams County",USA,WA,Homo sapiens,,2021-08-23,,PRJNA749781
PP629242,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004723,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29817,GenBank,complete,,,,"USA: Washington, Grant County",USA,WA,Homo sapiens,,2021-10-12,,PRJNA749781
PP629252,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004735,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29780,GenBank,complete,,,,"USA: Washington, Thurston County",USA,WA,Homo sapiens,,2021-10-14,,PRJNA749781
PP629253,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004736,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Thurston County",USA,WA,Homo sapiens,,2021-10-14,,PRJNA749781
PP629254,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004737,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29806,GenBank,complete,,,,"USA: Washington, Thurston County",USA,WA,Homo sapiens,,2021-10-14,,PRJNA749781
PP629255,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004738,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Thurston County",USA,WA,Homo sapiens,,2021-10-14,,PRJNA749781
PP629311,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-004799,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29807,GenBank,complete,,,,"USA: Washington, King County",USA,WA,Homo sapiens,,2021-10-18,,PRJNA749781
PP630229,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-006648,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29818,GenBank,complete,,,,"USA: Washington, Spokane County",USA,WA,Homo sapiens,,2021-11-08,,PRJNA749781
PP630242,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-006741,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29809,GenBank,complete,,,,"USA: Washington, King County",USA,WA,Homo sapiens,,2021-10-23,,PRJNA749781
PP630243,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-006742,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29783,GenBank,complete,,,,"USA: Washington, King County",USA,WA,Homo sapiens,,2021-10-23,,PRJNA749781
PP630433,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-006940,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29820,GenBank,complete,,,,"USA: Washington, Pierce County",USA,WA,Homo sapiens,,2021-11-09,,PRJNA749781
PP630443,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-006950,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29780,GenBank,complete,,,,"USA: Washington, Pierce County",USA,WA,Homo sapiens,,2021-11-09,,PRJNA749781
PP630448,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-006955,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,"USA: Washington, Pierce County",USA,WA,Homo sapiens,,2021-11-09,,PRJNA749781
PP630677,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-11,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-008233,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29778,GenBank,complete,,,,"USA: Washington, Whatcom County",USA,WA,Homo sapiens,,2021-12-17,,PRJNA749781
BS007901,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00106,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29770,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-25,SAMD00738377,PRJDB17046
BS008105,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00575,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29803,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-10-13,SAMD00738581,PRJDB17046
PP609014,Severe acute respiratory syndrome coronavirus 2,SRR15615470,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210329_01C15,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29739,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-03-25,SAMN20976986,PRJNA704697
PP609015,Severe acute respiratory syndrome coronavirus 2,SRR15615469,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210329_01C17,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29737,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-03-25,SAMN20976987,PRJNA704697
PP613235,Severe acute respiratory syndrome coronavirus 2,SRR15703627,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210429_00B22,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29723,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-04-27,SAMN21000153,PRJNA704697
PP613274,Severe acute respiratory syndrome coronavirus 2,SRR15703399,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210429_00F11,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29727,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-04-26,SAMN21000208,PRJNA704697
PP613307,Severe acute respiratory syndrome coronavirus 2,SRR15703351,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210429_01A23,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29733,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-04-28,SAMN21000252,PRJNA704697
PP613416,Severe acute respiratory syndrome coronavirus 2,SRR15703591,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210430_00G02,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29737,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-04-28,SAMN21000404,PRJNA704697
PP613439,Severe acute respiratory syndrome coronavirus 2,SRR16860682,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210503_00B09,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29741,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-05-01,SAMN22978351,PRJNA704697
PP613463,Severe acute respiratory syndrome coronavirus 2,SRR16860496,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210503_00D02,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29731,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-05-01,SAMN22978381,PRJNA704697
PP613524,Severe acute respiratory syndrome coronavirus 2,SRR16861040,"Amin,H., Wang,J., Su,M., Akther,S., Bologna,J., Rahat,A., Clabby,T., Thi,C., Silver,S., Chen,X., Chowdhury,T., Polanco,M., De La Cruz,N., Chowdhury,M., Olsen,A., Taki,F., Omoregie,E.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,2024-04-09,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-210503_01A02,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29730,GenBank,complete,,,,USA,USA,,Homo sapiens,,2021-05-01,SAMN22978473,PRJNA704697
