Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject
BS007856,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00040,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-27,SAMD00738332,PRJDB17046
BS007857,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00041,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-27,SAMD00738333,PRJDB17046
BS007858,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00042,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-28,SAMD00738334,PRJDB17046
BS007859,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00043,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-28,SAMD00738335,PRJDB17046
BS007860,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00045,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-28,SAMD00738336,PRJDB17046
BS007861,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00046,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-28,SAMD00738337,PRJDB17046
BS007862,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00047,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-28,SAMD00738338,PRJDB17046
BS007863,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00048,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-30,SAMD00738339,PRJDB17046
BS007864,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00049,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738340,PRJDB17046
BS007865,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00050,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738341,PRJDB17046
BS007866,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00051,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738342,PRJDB17046
BS007867,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00053,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738343,PRJDB17046
BS007868,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00054,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738344,PRJDB17046
BS007869,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00055,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738345,PRJDB17046
BS007870,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00056,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29761,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738346,PRJDB17046
BS007871,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00057,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-06,SAMD00738347,PRJDB17046
BS007872,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00058,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-07,SAMD00738348,PRJDB17046
BS007873,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00060,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29788,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-07,SAMD00738349,PRJDB17046
BS007874,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00061,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-07,SAMD00738350,PRJDB17046
BS007875,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00062,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-10,SAMD00738351,PRJDB17046
BS007876,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00063,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-10,SAMD00738352,PRJDB17046
BS007877,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00066,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-11,SAMD00738353,PRJDB17046
BS007878,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00069,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-12,SAMD00738354,PRJDB17046
BS007879,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00071,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-13,SAMD00738355,PRJDB17046
BS007880,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00072,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-13,SAMD00738356,PRJDB17046
BS007881,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00075,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29798,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-13,SAMD00738357,PRJDB17046
BS007882,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00076,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-13,SAMD00738358,PRJDB17046
BS007883,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00077,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29793,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-05-16,SAMD00738359,PRJDB17046
