Accession,Organism_Name,Submitters,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Genotype,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
UOA56167,Severe acute respiratory syndrome coronavirus 2,"Laoh,K., Roby,C., Briggs,R., Yanez,A., Smith,W., Friedlander,M.J., Finkielstein,C.V., Fink,L.",2022-04-01,AY.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,VA-VTVAS3-GSC28502,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Virginia,USA,VA,Homo sapiens,,2021-12-09
UNN45131,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-03-21,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MA-CDC-QDX34634407,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Massachusetts,USA,MA,Homo sapiens,oronasopharynx,2022-03-07
UKD66821,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-02-03,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,ID-CDC-LC0498449,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Idaho,USA,ID,Homo sapiens,oronasopharynx,2022-01-11
UNN44440,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-03-21,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,PA-CDC-QDX34633685,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,2022-03-07
ULZ65818,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-02-28,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,ME-CDC-ASC210548563,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Maine,USA,ME,Homo sapiens,,2022-02-07
UZH91275,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.",2022-11-10,BA.5.5.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,KS-CDC-2-6559998,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: KS,USA,KS,Homo sapiens,oronasopharynx,2022-10-12
UTB05897,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-07-05,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MO-CDC-QDX37011019,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,USA: Missouri,USA,MO,Homo sapiens,oronasopharynx,2022-05-12
WGP95129,Severe acute respiratory syndrome coronavirus 2,"Colson,P., Levasseur,A., Boschi,C., Fournier,P.-E., La Scola,B.",2023-05-01,AY.98.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-018533,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,France,France,,Homo sapiens,oronasopharynx,2021-07
ULN76202,Severe acute respiratory syndrome coronavirus 2,"Novack,A., Byrum,S.D., Bird,J.T., Thurman,T.J., Kennedy,J.L.",2022-02-23,AY.44,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,B011935,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: AR,USA,AR,Homo sapiens,oronasopharynx,2021-11-08
UMZ30144,Severe acute respiratory syndrome coronavirus 2,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.",2022-03-09,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,VT-CDCBI-CRSP_Q4KTIAKVV6B5QKB6,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Vermont,USA,VT,Homo sapiens,,2022-02-22
UVI57198,Severe acute respiratory syndrome coronavirus 2,"Tallon,L.J., Sadzewicz,L.D., Humphrys,M., Ott,S., Roussey,H., Vavikolanu,K., Regan,K., McCracken,C., Fraser,C.M., Ravel,J.",2022-08-24,BE.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MD-IGS-122221401033A,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: Maryland,USA,MD,Homo sapiens,,2022-07-20
UNJ58506,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-03-18,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-STM-HEXPFQCD9,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-02-28
UZG04193,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-11-08,BA.5.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NJ-CDC-QDX42910056,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2022-10-23
UEQ74247,Severe acute respiratory syndrome coronavirus 2,"Zarate,S., Taboada,B., Munoz-Medina,J.E., Isa,P., Sanchez-Flores,A., Boukadida,C., Herrera-Estrella,A., Selem-Mojica,N., Rosales-Rivera,M., Gomez-Gil,B., Salas-Lais,A., Santacruz-Tinoco,C., Montoya-Fuentes,H., Alvarado-Yaah,J., Molina-Salinas,G.M., Espinoza-Ayala,G., Enciso-Moreno,J., Gutierrez-Rios,R., Loza,A., Moreno-Contreras,J., Garcia-Lopez,R., Rivera-Gutierrez,X., Comas-Garcia,A., Wong-Chew,R., Jimenez,M., del Angel,R., Vazquez-Perez,J., Matias-Florentino,M., Perez-Garcia,M., Rios,S., Castelan-Sanchez,H., Delaye,L., Martinez-Castilla,L., Escalera-Zamudio,M., Lopez,S., Arias,C.F., Avila-Rios,S., Becerril-Vargas,E., Arias,C., Alvarado-Yaah,J.E., Borja-Aburto,V.H., Chaidez-Quiroz,C., CoViGen-Mex Consorcio de Vigilancia Genomica,c., Chale-Dzul,J.B., Ciria-Merce,R., Duque-Molina,C., Enciso-Ibarra,J., Enciso-Moreno,J.A., Espinosa-Ayala,G.E., Fontove-Herrera,F., Fregoso-Rueda,D., Garcia-Arias,V.E., Garcia-Gasca,A., Pierre Gonzalez,J., Gonzalez-Lopez,I., Grajales-Muniz,C., Grande,R., Gutierrez Rios,R.M., Hernandez,J., Hernandez-Teran,A., Herrera-Najera,C.I., Mata-Haro,V., Lira Morales,D., Loza Roman,A., Maldonado-Meza,B.I., Martinez-Miguel,B., Martinez-Orozco,J.A., Martinez- Rodriguez,C., Mejia-Nepomuceno,F., Mireles-Rivera,M.Gd.J., Mujica-Sanchez,M., Nunez-Contreras,Jd.J., Ocana-Mondragon,A., Ochoa-Carrera,L.A., Paz-Juarez,H.E., Pulido,F., Ramirez-Plascencia,H.H.F., Salas-Hernandez,J., Salas-Lais,A.G., Santacruz-Tinoco,C.E., Santiago-Mauricio,M.G., Tapia-Diaz,K.E., Vazquez,G., Vazquez-Perez,J.A.",2021-11-15,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,ZAC_0301,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,Mexico,Mexico,,Homo sapiens,,2021-03-28
UOZ49626,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-04-18,BA.2.3.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,IL-CDC-ASC210721497,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: Illinois,USA,IL,Homo sapiens,,2022-03-30
WRQ61659,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.",2024-01-12,JN.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NY-CDC-QDX90678008,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: New York,USA,NY,Homo sapiens,oronasopharynx,2023-12-26
QTJ87070,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Padilla,J., Burroughs,M., Le,S., Dillon,K., Cook,P., Paden,C.R., Batra,D., Queen,K., Knipe,K., Howard,D., Unoarumhi,Y., Wagner,D., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Halpin,A.L., Wentworth,D., Dugan,V., Tong,S., Lee,J.",2021-04-01,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,ND-CDC-2-4044507,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7096,,ORF1ab polyprotein,USA: ND,USA,ND,Homo sapiens,oronasopharynx,2020-12-06
QJD23592,Severe acute respiratory syndrome coronavirus 2,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23,A,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PV08148,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: NY,USA,NY,Homo sapiens,oronasopharynx,2020-03-14
QUP36150,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2021-05-03,P.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,PA-CDC-QDX23849373,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),419,,nucleocapsid phosphoprotein,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,2021-04-11
UVU67698,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-08-30,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-CDC-LC0848995,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Washington,USA,WA,Homo sapiens,oronasopharynx,2022-08-16
WVI31012,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-31,BF.21,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-214689,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1268,,surface glycoprotein,USA,USA,,Homo sapiens,,2022-11-02
QXJ01862,Severe acute respiratory syndrome coronavirus 2,"McCormick,K.P.",2021-07-07,R.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,VSP1815,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,"USA: Pennsylvania, Philadelphia",USA,PA,Homo sapiens,,2021-03-28
UBT27411,Severe acute respiratory syndrome coronavirus 2,"Napolitano,J., Srikanth,S., Emerson,C., Wilson,S., Krueger,B., Parker,S., Pruitt,J., Dango,R., Iyer,L., Shafi,A., Peng,C., Dean,D., Ham,R., Williams,K., King,K., Sell,K., Saski,C., Parkinson,C.",2021-10-01,B.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,FA95948EAF6,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),419,,nucleocapsid phosphoprotein,"USA: SC, Starr",USA,SC,Homo sapiens,"saliva, oronasopharynx",2021-04-06
UHF03691,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-20,AY.44,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,AZ-CDC-ASC210401056,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Arizona,USA,AZ,Homo sapiens,,2021-11-13
UKT87535,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2022-02-11,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-260800,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1267,,surface glycoprotein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-01-31
UPB19129,Severe acute respiratory syndrome coronavirus 2,"Levasseur,A.",2022-04-19,AY.122,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-055636-Nova1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1271,,surface glycoprotein,France,France,,Homo sapiens,,2021-12-06
URX73526,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-06-09,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-STM-PRKH3Y7YK,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-05-26
