Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OX621669,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,5/18/2023,BA.1.17.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/4/2022
OY960679,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,12/9/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2020
ON082467,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,3/28/2022,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,UT-UPHL-220312573760,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29773,GenBank,complete,,USA,USA,,Homo sapiens,,1/29/2022
OY681423,Severe acute respiratory syndrome coronavirus 2,,"Suite 2, The Newnham Building, Chesterford Research Park, CB10 1XL",,8/3/2023,BA.1.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29769,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/19/2022
OX816057,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/19/2023,BA.5.2.12,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,9/28/2022
OX708102,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,8/27/2021
OX352467,Severe acute respiratory syndrome coronavirus 2,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,10/20/2022,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,RNA,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29847,GenBank,complete,,Slovakia,Slovakia,,Homo sapiens,,9/28/2022
OZ017595,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2/21/2024,JN.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29849,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,1/24/2024
OX550778,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,5/4/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,6/29/2021
OX515378,Severe acute respiratory syndrome coronavirus 2,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,5/2/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Northern_Ireland,United Kingdom,,Homo sapiens,,7/13/2021
OW506355,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,4/16/2022,BA.1.17.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/5/2022
OR307792,Severe acute respiratory syndrome coronavirus 2,"Scotch,M., Lauer,K., Wieben,E.D., Cherukuri,Y., Cunningham,J.M., Klee,E.W., Harrington,J.J., Lau,J.S., McDonough,S.J., Mutawe,M., O'Horo,J.C., Rentmeester,C.E., Schlicher,N.R., White,V.T., Schneider,S.K., Vedell,P.T., Wang,X., Yao,J.D., Pritt,B.S., Norgan,A.P., Wieben,E., Cunningham,J., Klee,E., Harrington,J., Lau,J., McDonough,S., O'Horo,J., Rentmeester,C., Schlicher,N., Yao,J., White,V., Schneider,S., Vedell,P., Pritt,B., Norgan,A.","Mayo Clinic, Quantitative Health Sciences",USA,7/20/2023,AY.54,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,Mayo3495,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29814,GenBank,complete,,USA,USA,,Homo sapiens,,7/18/2021
MW799636,Severe acute respiratory syndrome coronavirus 2,"Pokharel,A., Oh,B., Tuladhar,R., Pedrueza,M., Zhang,J., Rahman,M., Koag,M., Wang,C., Lee,R., Kubin,G.","Texas Department of State Health Services-SARS-CoV-2 submission group, Laboratory Services Section",USA,3/23/2021,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,TX-DSHS-3978,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29727,GenBank,complete,,USA: TX,USA,TX,Homo sapiens,oronasopharynx,6/21/2020
ON717605,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,6/9/2022,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-STM-WKFDJBN3X,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,5/27/2022
OY882461,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,12/6/2023,HK.3.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,11/1/2023
OY902994,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,12/7/2023,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,12/19/2021
OM836565,Severe acute respiratory syndrome coronavirus 2,"Reeb,V., Twait,E., Yakos,A., Knutson,M., Eveland,K., Zanon,K., Benfer,J., Hottel,W., Kampoowale,A., Sompallae,K., El Allam,M.","State Hygienic Laboratory at the University of Iowa, Molecular",USA,2/25/2022,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,1569928a,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29797,GenBank,complete,,USA: IA,USA,IA,Homo sapiens,,1/29/2021
OY655646,Severe acute respiratory syndrome coronavirus 2,,"Yourgene Health, Citylabs 1.0, Nelson Street, Manchester, M13 9NQ",,8/2/2023,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29792,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/16/2022
OM335654,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/21/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CO-CDC-ASC210560869,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29799,GenBank,complete,,USA: Colorado,USA,CO,Homo sapiens,,12/30/2021
OY927970,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,12/9/2023,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/22/2022
OY319510,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,7/18/2023,BA.5.1.24,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,6/26/2022
OY722261,Severe acute respiratory syndrome coronavirus 2,,London,United Kingdom,8/11/2023,BA.2.5,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,4/5/2022
OY565094,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/28/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,11/26/2021
OY689267,Severe acute respiratory syndrome coronavirus 2,,"Suite 2, The Newnham Building, Chesterford Research Park, CB10 1XL",,8/3/2023,BA.1.17,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29769,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,12/31/2021
OX500761,Severe acute respiratory syndrome coronavirus 2,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,5/1/2023,AY.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Northern_Ireland,United Kingdom,,Homo sapiens,,7/24/2021
OX549840,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,5/4/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,7/10/2021
PP188899,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Thornburg,N., Unoarumhi,Y., Chau,R., Lacek,K.A., Mandal,P., Bajwa,M., Momin,N., Morrison,S., Gulvik,C., Sula,E., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/23/2024,JN.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-LC1087603,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29690,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,1/2/2024
OY509709,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/26/2023,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,8/15/2021
MW741946,Severe acute respiratory syndrome coronavirus 2,"Flores,H., Freeman,J.","SC DHEC, Microbiology Division",USA,3/15/2021,B.1.243,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SC-COVID21-0073,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,GenBank,complete,,"USA: SC, GREENVILLE",USA,SC,Homo sapiens,oronasopharynx,1/21/2021
OQ033215,Severe acute respiratory syndrome coronavirus 2,"Smith,E.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,12/14/2022,BA.5.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDPH-1002013798,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29684,GenBank,complete,,USA,USA,,Homo sapiens,,7/14/2022
OW104614,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,3/9/2022,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,8/4/2021
OX665317,Severe acute respiratory syndrome coronavirus 2,,Liverpool,United Kingdom,6/16/2023,unclassifiable,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,9/20/2020
MZ023812,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,4/25/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NJ-CDC-ASC210040394,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29843,GenBank,complete,,USA: New Jersey,USA,NJ,Homo sapiens,,4/1/2021
OY435928,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/25/2023,BA.5.9,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29845,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,10/18/2022
MW891269,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Feo,Ed., Antico,J., Tran,C., Tolentino,M., Wickline,S., Gietzen,K., Sickler,B., Liu,J., Allen,E., Febbo,P., Washington,N.L., White,S., Levan,G., Barrett,K.S., Cirulli,E., Bolze,A., Ascencio,A., Rivera-Garcia,C., Cho,R., Nguyen,J., Wang,S., Ramirez,J., Cassens,T., Sandoval,E., Isaksson,M., Lee,W., Becker,D., Laurent,M., Lu,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,4/9/2021,B.1.526,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,PA-CDC-STM-000040879,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29822,GenBank,complete,,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,3/19/2021
OX801646,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/19/2023,BA.1.15.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/21/2022
OX743395,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29811,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,10/11/2021
OX755959,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29885,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,7/13/2022
